City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Kirakira,SB,79.18,clear sky,-10.4544,161.9205,SanBiz Lodge
159,Vanimo,PG,79.23,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
160,Katsuura,JP,78.94,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
165,Rockport,US,85.05,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
172,Mahibadhoo,MV,81.86,overcast clouds,3.7833,72.9667,Omadhoo Inn
178,Avera,US,75.54,overcast clouds,33.194,-82.5271,"Chambres d'hôte ""La Trinité"""
179,Poum,NC,77.02,broken clouds,-20.2333,164.0167,"Chambres d'hôte ""La Trinité"""
184,Wanning,CN,85.12,few clouds,18.8003,110.3967,Paradise Hotel
186,Palmas Bellas,PA,76.24,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
187,Kortkeros,RU,77.18,overcast clouds,61.8106,51.5806,"Chambres d'hôte ""La Trinité"""
195,Shimanovsk,RU,76.17,broken clouds,52.0,127.7,Гостиница Домашняя
196,Port Elizabeth,ZA,76.32,clear sky,-33.918,25.5701,39 On Nile Guest House
201,Kirishi,RU,79.56,few clouds,59.4471,32.0205,Sputnik
204,Upington,ZA,77.38,clear sky,-28.4478,21.2561,River Place Manor
213,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
218,Meadow Lake,US,77.32,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
222,Dosso,NE,85.89,overcast clouds,13.049,3.1937,Hotel Toubal
224,Novobiryusinskiy,RU,82.74,few clouds,56.9578,97.7076,Gostinitsa
226,Naze,JP,79.72,scattered clouds,28.3667,129.4833,Shishime Hotel
229,Saint Anthony,US,76.6,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
230,Dinguiraye,GN,76.42,overcast clouds,11.3,-10.7167,"Chambres d'hôte ""La Trinité"""
232,Koumac,NC,75.88,overcast clouds,-20.5667,164.2833,Le Monitel
233,Kodinsk,RU,77.97,overcast clouds,58.6881,99.1844,"Chambres d'hôte ""La Trinité"""
236,Dongsheng,CN,75.49,clear sky,39.8161,109.9776,Crowne Plaza Ordos
243,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
246,Quimperle,FR,75.74,clear sky,47.8667,-3.55,ibis Quimperlé
