City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
502,Lorengau,PG,-2.0226,147.2712,82.31,77,32,7.92,scattered clouds
503,Raymondville,US,26.4815,-97.7831,81.09,82,0,10.02,clear sky
504,Rawson,AR,-43.3002,-65.1023,36.36,56,53,8.57,broken clouds
505,Butembo,CD,0.15,29.2833,77.18,33,59,6.46,broken clouds
506,Zheleznodorozhnyy,RU,55.7503,38.0042,75.72,43,29,12.46,scattered clouds
507,Kaitangata,NZ,-46.2817,169.8464,42.35,87,86,5.79,overcast clouds
508,Bambanglipuro,ID,-7.95,110.2833,78.08,77,79,11.79,broken clouds
509,Tabou,CI,4.423,-7.3528,79.84,60,87,7.02,overcast clouds
510,Dubrovka,RU,53.6907,33.5071,70.75,64,34,12.66,light rain
511,Kharhial,IN,20.2833,82.7667,88.9,63,98,2.86,overcast clouds
512,Mtimbira,TZ,-8.7833,36.35,78.31,53,77,2.46,light rain
513,Wigston,GB,52.5863,-1.1059,64.11,89,100,6.64,overcast clouds
514,Lander,US,42.833,-108.7307,67.01,25,0,5.75,clear sky
515,Hami,CN,42.8,93.45,95.74,12,0,10.49,clear sky
516,Okulovka,RU,58.4008,33.2908,78.12,40,11,2.62,few clouds
517,Xining,CN,36.6167,101.7667,72.81,36,0,6.42,clear sky
518,Gorontalo,ID,0.5412,123.0595,78.66,86,80,5.1,broken clouds
519,Rey Bouba,CM,8.6724,14.1786,83.05,70,100,4.14,light rain
520,Kholodnyy,RU,62.7167,147.95,62.46,67,55,2.73,broken clouds
521,Nacala,MZ,-14.5428,40.6728,81.72,57,75,11.5,broken clouds
522,Severnoye,RU,56.3491,78.3619,61.95,93,99,11.92,light rain
523,Phichit,TH,16.25,100.4167,81.0,83,100,9.26,overcast clouds
524,Biak,ID,-0.9131,122.8766,77.2,85,67,6.26,broken clouds
525,Aromashevo,RU,56.8602,68.6375,69.35,59,85,9.91,overcast clouds
526,Bar Harbor,US,44.3876,-68.2039,68.94,92,100,3.44,fog
527,Kantang,TH,7.4054,99.5156,86.09,70,20,2.3,few clouds
528,Erzin,TR,36.9559,36.2,95.29,18,0,7.0,clear sky
529,Liaocheng,CN,36.4439,115.9647,71.71,94,100,15.68,heavy intensity rain
530,Ambon,ID,-3.6954,128.1814,78.94,15,20,4.61,few clouds
531,Sidney,AU,-33.8679,151.2073,58.37,88,40,11.5,light rain
532,Noumea,NC,-22.2763,166.4572,78.78,99,100,6.82,overcast clouds
533,Kaya,BF,13.0917,-1.0844,83.37,62,97,6.46,overcast clouds
534,Ayan,RU,56.45,138.1667,57.9,90,86,1.88,overcast clouds
535,Nilanga,IN,18.1,76.7667,79.63,72,100,10.4,overcast clouds
536,Navolato,MX,24.7672,-107.6944,84.13,69,100,5.64,overcast clouds
537,Islamkot,PK,24.6997,70.177,93.34,53,99,18.14,overcast clouds
538,Ambulu,ID,-8.345,113.6058,78.08,79,55,5.79,broken clouds
539,North Bend,US,43.4065,-124.2243,59.92,96,100,3.44,overcast clouds
540,Ashland,US,40.8167,-82.2665,70.34,88,2,8.23,clear sky
541,Farias Brito,BR,-6.9306,-39.5656,72.28,65,30,5.06,scattered clouds
542,Dauphin,CA,51.1494,-100.0502,57.34,100,0,6.91,clear sky
543,Iralaya,HN,15.0,-83.2333,79.66,85,97,14.27,overcast clouds
544,Alnavar,IN,15.4333,74.7333,81.5,71,100,12.44,overcast clouds
545,Rodino,RU,52.5,80.25,77.9,36,78,21.09,broken clouds
546,Yamada,JP,39.4667,141.95,72.18,100,100,7.87,overcast clouds
547,Arman,RU,59.7,150.1667,68.02,74,87,2.13,overcast clouds
548,Colwyn Bay,GB,53.2948,-3.7267,62.82,90,100,7.07,overcast clouds
549,Nishihara,JP,26.1842,127.7558,86.05,81,75,11.5,broken clouds
550,Labrea,BR,-7.2586,-64.7981,70.86,80,49,2.35,scattered clouds
551,Acapulco,MX,16.8634,-99.8901,80.42,89,40,3.44,scattered clouds
552,Samarai,PG,-10.6167,150.6667,81.28,78,5,4.7,clear sky
553,Farafangana,MG,-22.8167,47.8333,72.37,66,32,4.56,scattered clouds
554,Vardo,NO,70.3705,31.1107,55.38,82,75,12.66,broken clouds
555,Bathsheba,BB,13.2167,-59.5167,81.21,88,20,18.41,few clouds
556,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,67.64,52,3,4.52,clear sky
557,Gao,ML,16.6362,1.637,92.66,35,49,14.03,scattered clouds
558,Jawar,IN,23.0,76.5,75.47,90,100,10.69,moderate rain
559,Bardiyah,LY,31.7561,25.0865,85.21,40,0,12.46,clear sky
560,Cabo San Lucas,MX,22.8909,-109.9124,83.61,74,0,14.7,clear sky
561,Durango,MX,24.8333,-104.8333,67.12,59,100,5.37,overcast clouds
562,Isangel,VU,-19.55,169.2667,75.76,88,27,9.89,scattered clouds
563,Pilar,BR,-9.5972,-35.9567,71.53,92,67,2.42,broken clouds
564,Casas Grandes,MX,30.3667,-107.95,71.44,66,97,9.26,overcast clouds
565,Nurota,UZ,40.5614,65.6886,109.62,7,0,21.45,clear sky
566,Barcelos,PT,41.5388,-8.6151,66.34,55,74,3.51,broken clouds
567,Emerald,AU,-23.5333,148.1667,61.34,68,59,9.48,broken clouds
568,Massaguet,TD,12.4755,15.4365,88.34,54,88,7.7,overcast clouds
569,Lompoc,US,34.6391,-120.4579,55.54,97,100,6.91,fog
570,Amahai,ID,-3.3333,128.9167,76.3,78,29,6.76,scattered clouds
571,Rocha,UY,-34.4833,-54.3333,46.0,96,53,2.04,broken clouds
572,Rapid Valley,US,44.0625,-103.1463,70.52,48,0,8.01,clear sky
573,Malaya Serdoba,RU,52.4661,44.9512,71.49,55,41,7.29,light rain
574,Basco,PH,20.4487,121.9702,86.77,72,80,8.41,broken clouds
575,Rio Gallegos,AR,-51.6226,-69.2181,30.25,86,0,23.02,clear sky
576,Ovre Ardal,NO,61.3167,7.8,68.04,51,67,0.96,broken clouds
577,Barao De Melgaco,BR,-16.1944,-55.9675,65.8,50,32,1.57,scattered clouds
578,Mattru,SL,7.6244,-11.8332,77.94,83,100,6.04,light rain
579,Haines Junction,CA,60.7522,-137.5108,44.55,76,95,3.44,overcast clouds
580,Kimbe,PG,-5.5502,150.1429,77.76,89,84,3.62,light rain
581,Santarem,BR,-2.4431,-54.7083,80.73,89,40,8.05,scattered clouds
582,Darhan,MN,49.4867,105.9228,58.26,89,100,4.97,overcast clouds
583,Agirish,RU,61.9247,63.0231,68.79,26,18,8.79,few clouds
584,Svetlogorsk,BY,52.6333,29.7333,75.36,50,4,9.13,clear sky
585,Dolores,AR,-36.3132,-57.6792,41.34,80,0,4.79,clear sky
586,Lerwick,GB,60.1545,-1.1494,53.6,73,100,9.1,overcast clouds
587,Zhigansk,RU,66.7697,123.3711,59.99,88,100,15.39,overcast clouds
588,Challans,FR,46.8436,-1.8749,68.92,51,67,9.08,broken clouds
589,Beisfjord,NO,68.3751,17.5988,58.05,89,100,5.68,overcast clouds
590,Kindu,CD,-2.95,25.95,93.51,30,97,3.51,overcast clouds
591,Coolum Beach,AU,-26.5333,153.1,60.12,97,100,22.75,overcast clouds
592,Plock,PL,52.5468,19.7064,83.37,45,100,8.37,overcast clouds
593,Yalutorovsk,RU,56.6536,66.3006,72.41,50,37,7.87,scattered clouds
594,Umred,IN,20.85,79.3333,86.29,78,100,10.38,light rain
595,Abu Kamal,SY,34.4506,40.9171,99.82,16,0,14.61,clear sky
596,Ajdabiya,LY,30.7554,20.2263,88.54,34,0,14.7,clear sky
597,Mudgee,AU,-32.5943,149.5871,49.62,80,23,12.08,few clouds
598,Nakamura,JP,32.9833,132.9333,77.52,76,0,5.57,clear sky
599,Tatawin,TN,32.9297,10.4518,90.28,26,0,10.98,clear sky
600,Aksu,CN,41.1231,80.2644,97.12,12,0,2.48,clear sky
601,Wajid,SO,3.8093,43.2471,81.55,49,99,20.76,overcast clouds
602,Roald,NO,62.5833,6.1333,62.91,94,75,11.5,light intensity drizzle
603,Necochea,AR,-38.5473,-58.7368,43.32,83,99,1.81,light rain
604,Alugan,PH,12.2188,125.4808,82.22,79,34,4.09,scattered clouds
605,Ayaviri,PE,-14.8864,-70.5889,32.67,43,0,2.35,clear sky
606,Fort Nelson,CA,58.8053,-122.7002,45.99,93,20,2.3,few clouds
607,Rioja,AR,-29.4111,-66.8507,53.31,70,0,0.31,clear sky
608,Moberly,US,39.4184,-92.4382,67.98,83,0,4.61,clear sky
609,Maposeni,TZ,-10.5833,35.4,71.11,48,59,5.14,broken clouds
610,Sendafa,ET,9.15,39.0333,65.62,62,59,4.59,light rain
611,Lipin Bor,RU,60.2622,37.9763,72.73,60,89,3.87,overcast clouds
612,Pacific Grove,US,36.6177,-121.9166,57.42,94,40,11.01,scattered clouds
613,Oudtshoorn,ZA,-33.5907,22.2014,64.76,31,95,5.97,overcast clouds
614,Cherepovets,RU,59.1333,37.9,78.62,47,40,0.0,scattered clouds
615,Brodokalmak,RU,55.5748,62.082,77.9,56,45,6.42,scattered clouds
